"Semana","Agencia_ID","Canal_ID","Ruta_SAK","Cliente_ID","Producto_ID","Venta_uni_hoy","Venta_hoy","Dev_uni_proxima","Dev_proxima","Demanda_uni_equil"
3,1110,8,3404,35996,2233,8,159.52,0,0,8
3,1111,1,1014,66920,73,2,42.64,0,0,2
3,1111,1,1014,66920,693,4,38.4,0,0,4
3,1111,1,1014,66920,1129,8,140.8,0,0,8
3,1111,1,1014,66920,1150,4,55.84,0,0,4
3,1111,1,1014,66920,1182,4,55.76,0,0,4
3,1111,1,1014,66920,2233,5,99.7,0,0,5
3,1111,1,1014,66920,6667,4,50,0,0,4
3,1111,1,1014,66920,32802,2,23.82,0,0,2
3,1111,1,1014,66920,36318,2,24.6,0,0,2
3,1111,1,1014,66920,46772,6,53.52,0,0,6
3,1111,1,1414,66920,1064,4,66.68,0,0,4
3,1111,1,1414,66920,1212,2,16.76,0,0,2
3,1111,1,1414,66920,1220,3,22.92,0,0,3
3,1111,1,1414,66920,1230,6,100.02,0,0,6
3,1111,1,1414,66920,1240,16,134.08,0,0,16
3,1111,1,1414,66920,1250,20,152.8,0,0,20
3,1111,1,1414,66920,1284,25,75.5,0,0,25
3,1111,1,1631,66920,325,3,24.45,0,0,3
3,1111,1,1631,66920,3609,4,35.92,0,0,4
3,1111,1,1631,66920,4280,16,96,0,0,16
3,1111,1,1631,66920,35452,9,39.96,0,0,9
3,1111,1,2112,66920,30532,5,38.9,0,0,5
3,1111,1,2112,66920,30572,13,81.25,0,0,13
3,1111,1,2112,66920,30575,14,87.5,0,0,14
3,1111,1,2112,66920,32934,3,21.12,0,0,3
3,1111,1,2112,66920,36745,2,23.06,0,0,2
3,1111,1,2112,66920,36747,1,11.53,0,0,1
3,1111,1,4412,66920,37058,20,150,0,0,20
3,1111,1,4412,66920,43215,3,30.42,0,0,3
3,1111,1,4412,66920,43285,35,184.8,0,0,35
3,1111,1,4412,66920,43316,2,16.3,0,0,2
3,1111,1,4501,4644269,36747,2,23.06,0,0,2
3,1111,1,4501,4644269,43285,6,31.68,0,0,6
3,1112,1,1001,430377,1129,13,228.8,0,0,13
3,1112,1,1001,430377,1150,9,125.64,0,0,9
3,1112,1,1001,430377,2233,4,79.76,0,0,4
3,1112,1,1001,430377,32802,3,35.73,0,0,3
3,1112,1,1003,2128813,693,3,28.8,0,0,3
3,1112,1,1003,2128813,1129,3,52.8,0,0,3
3,1112,1,1003,2128813,2233,2,39.88,0,0,2
3,1112,1,1003,2128813,6667,4,50,0,0,4
3,1112,1,1003,2128813,46772,5,44.6,0,0,5
3,1112,1,1011,327153,1129,6,105.6,0,0,6
3,1112,1,1017,1262263,1182,3,41.82,0,0,3
3,1112,1,1017,1262263,32802,3,35.73,0,0,3
3,1112,1,1020,1515013,1129,20,352,0,0,20
3,1112,1,1020,1515013,1150,29,404.84,0,0,29
3,1112,1,1020,1515013,2233,20,398.8,0,0,20
3,1112,1,1020,1515013,2665,7,112,0,0,7
3,1112,1,1403,2128813,972,1,18.98,0,0,1
3,1112,1,1403,2128813,1064,3,50.01,0,0,3
3,1112,1,1403,2128813,1212,8,67.04,0,0,8
3,1112,1,1403,2128813,1216,8,67.04,0,0,8
3,1112,1,1403,2128813,1220,10,76.4,0,0,10
3,1112,1,1403,2128813,1230,4,66.68,0,0,4
3,1112,1,1403,2128813,1240,15,125.7,0,0,15
3,1112,1,1403,2128813,1250,25,191,0,0,25
3,1112,1,1403,2128813,1284,21,63.42,0,0,21
3,1112,1,1403,2128813,48421,2,9.16,0,0,2
3,1112,1,1411,327153,1240,3,25.14,0,0,3
3,1112,1,1411,327153,1250,6,45.84,0,0,6
3,1112,1,1417,1262263,1284,2,6.04,0,0,2
3,1112,1,1602,1515013,141,8,111.68,0,0,8
3,1112,1,1602,1515013,35147,4,82,0,0,4
3,1112,1,1607,2128813,3609,8,71.84,0,0,8
3,1112,1,1607,2128813,4280,21,126,0,0,21
3,1112,1,1607,2128813,35452,13,57.72,0,0,13
3,1112,1,2110,2128813,30572,70,437.5,0,0,70
3,1112,1,2110,2128813,30575,30,187.5,0,0,30
3,1112,1,2110,2128813,32934,12,84.48,0,0,12
3,1112,1,2110,2128813,33244,5,57.65,0,0,5
3,1112,1,2110,2128813,35841,15,103.8,0,0,15
3,1112,1,2113,327153,43058,4,37.4,0,0,4
3,1112,1,4411,2128813,37058,45,337.5,0,0,45
3,1112,1,4411,2128813,43064,2,16.3,0,0,2
3,1112,1,4411,2128813,43065,7,47.32,0,0,7
3,1112,1,4411,2128813,43066,5,48.15,0,0,5
3,1112,1,4411,2128813,43068,10,38.4,0,0,10
3,1112,1,4411,2128813,43084,4,32.6,0,0,4
3,1112,1,4411,2128813,43215,13,131.82,0,0,13
3,1112,1,4411,2128813,43274,2,10.38,0,0,2
3,1112,1,4411,2128813,43285,90,475.2,0,0,90
3,1116,1,1205,1751874,972,3,56.94,0,0,3
3,1116,1,1205,1751874,1064,1,16.67,0,0,1
3,1116,1,1205,1751874,1129,3,52.8,0,0,3
3,1116,1,1205,1751874,1150,3,41.88,0,0,3
3,1116,1,1205,1751874,1216,2,16.76,0,0,2
3,1116,1,1205,1751874,1220,5,38.2,0,0,5
3,1116,1,1205,1751874,1230,2,33.34,0,0,2
3,1116,1,1205,1751874,1240,10,83.8,0,0,10
3,1116,1,1205,1751874,1250,8,61.12,0,0,8
3,1116,1,1205,1751874,1284,15,45.3,0,0,15
3,1116,1,1205,1751874,2233,3,59.82,0,0,3
3,1116,1,1205,1751874,2665,3,48,0,0,3
3,1116,1,1205,1751874,46772,5,44.6,0,0,5
3,1116,1,1611,1751874,325,1,8.15,0,0,1
3,1116,1,1611,1751874,3609,2,17.96,0,0,2
3,1116,1,1611,1751874,4280,9,54,0,0,9
3,1116,1,1611,1751874,35452,1,4.44,0,0,1
3,1116,1,1618,2270871,325,1,8.15,0,0,1
3,1116,1,1618,2270871,2505,1,7.52,0,0,1
3,1116,1,1618,2270871,4280,5,30,0,0,5
3,1116,1,1618,2270871,35452,1,4.44,0,0,1
3,1117,1,1041,2467689,73,2,42.64,0,0,2
3,1117,1,1041,2467689,1129,5,88,0,0,5
3,1117,1,1041,2467689,1150,1,13.96,0,0,1
3,1117,1,1041,2467689,2233,5,99.7,0,0,5
